district,state,year,month,rain_total,rain_avg,temp_avg,soil,urban,well_depth,aquifer_type,gw_delta
bharuch,gujarat,2025.0,10.0,138.53,4.468709677419355,26.53451612903226,2,0,102.4,3,1.3572358120005426
bharuch,gujarat,2025.0,11.0,17.24,0.5746666666666667,22.661,2,0,102.4,3,0.5868096872616322
bhavnagar,gujarat,2023.0,11.0,33.36,1.112,24.585,2,1,62.0,2,-0.7834166666666667
bhavnagar,gujarat,2023.0,12.0,0.69,0.022258064516129,22.010967741935485,2,1,62.0,2,-1.3987338709677417
bhavnagar,gujarat,2024.0,1.0,0.19,0.0061290322580645,21.396451612903224,2,1,62.0,2,-1.0686290322580645
bhavnagar,gujarat,2024.0,2.0,0.0,0.0,24.75379310344828,2,1,62.0,2,-0.6291629588431604
bhavnagar,gujarat,2024.0,3.0,2.53,0.0816129032258064,28.19032258064516,2,1,62.0,2,-0.4905951056729698
bhavnagar,gujarat,2024.0,4.0,0.03,0.001,33.017,2,1,62.0,2,-0.2068790322580636
bhavnagar,gujarat,2024.0,5.0,7.069999999999999,0.2280645161290322,36.086129032258064,2,1,62.0,2,-0.4623951612903241
bhavnagar,gujarat,2024.0,6.0,110.14,3.6713333333333336,34.096666666666664,2,1,62.0,2,-0.2806881720430105
bhavnagar,gujarat,2024.0,7.0,246.88,7.963870967741935,29.62903225806452,2,1,62.0,2,3.472381720430107
bhavnagar,gujarat,2024.0,8.0,290.23,9.36225806451613,28.34741935483871,2,1,62.0,2,2.537983870967743
bhavnagar,gujarat,2024.0,9.0,235.7,7.856666666666666,27.709333333333333,2,1,62.0,2,0.0485510752688176
bhavnagar,gujarat,2024.0,10.0,48.75000000000001,1.5725806451612905,27.4358064516129,2,1,62.0,2,-0.5843575268817203
bhavnagar,gujarat,2024.0,11.0,0.0,0.0,22.904666666666667,2,1,62.0,2,-1.07939247311828
bhavnagar,gujarat,2024.0,12.0,0.01,0.0003225806451612,18.416451612903224,2,1,62.0,2,-1.3587526881720438
bhavnagar,gujarat,2025.0,1.0,0.0,0.0,20.08451612903226,2,1,62.0,2,-0.7047580645161293
bhavnagar,gujarat,2025.0,2.0,0.0,0.0,25.21857142857143,2,1,62.0,2,-0.564161866359445
bhavnagar,gujarat,2025.0,3.0,0.0,0.0,29.633548387096774,2,1,62.0,2,-1.0476123271889417
bhavnagar,gujarat,2025.0,4.0,1.09,0.0363333333333333,34.05166666666666,2,1,62.0,2,-1.3397983870967725
bhavnagar,gujarat,2025.0,5.0,104.92,3.3845161290322583,32.476129032258065,2,1,62.0,2,-0.7591532258064522
bhavnagar,gujarat,2025.0,6.0,269.74,8.991333333333333,31.208,2,1,62.0,2,0.2527365591397856
bhavnagar,gujarat,2025.0,7.0,198.37,6.3990322580645165,28.43387096774193,2,1,62.0,2,0.9924880952380946
bhavnagar,gujarat,2025.0,8.0,147.18,4.747741935483871,28.22483870967742,2,1,62.0,2,0.2026785714285708
bhavnagar,gujarat,2025.0,9.0,167.97,5.599,27.59733333333333,2,1,62.0,2,0.4621904761904769
bhavnagar,gujarat,2025.0,10.0,123.2,3.9741935483870967,26.03419354838709,2,1,62.0,2,0.740940836940835
bhavnagar,gujarat,2025.0,11.0,20.09,0.6696666666666666,21.613,2,1,62.0,2,0.234011544011544
chhota udaipur,gujarat,2023.0,8.0,40.0,1.2903225806451613,26.66193548387097,3,0,200.0,1,-2.9295262096774195
chhota udaipur,gujarat,2023.0,9.0,278.7,9.29,27.1,3,0,200.0,1,-2.504494623655916
chhota udaipur,gujarat,2023.0,10.0,0.01,0.0003225806451612,26.033870967741933,3,0,200.0,1,-1.7781666666666638
chhota udaipur,gujarat,2023.0,11.0,34.95,1.165,23.88433333333333,3,0,200.0,1,-0.7923333333333353
chhota udaipur,gujarat,2023.0,12.0,3.16,0.1019354838709677,21.86806451612903,3,0,200.0,1,-1.5538763440860208
chhota udaipur,gujarat,2024.0,1.0,0.61,0.0196774193548387,21.484516129032254,3,0,200.0,1,-0.6454838709677411
chhota udaipur,gujarat,2024.0,2.0,0.0,0.0,24.53586206896552,3,0,200.0,1,-0.3731340378198027
chhota udaipur,gujarat,2024.0,3.0,0.78,0.0251612903225806,27.801935483870967,3,0,200.0,1,2.085472747497221
chhota udaipur,gujarat,2024.0,4.0,1.92,0.064,32.64966666666667,3,0,200.0,1,13.888021505376344
chhota udaipur,gujarat,2024.0,5.0,7.0,0.2258064516129032,35.83032258064516,3,0,200.0,1,1.3170591397849467
chhota udaipur,gujarat,2024.0,6.0,122.35,4.078333333333333,33.478,3,0,200.0,1,-1.4745591397849456
chhota udaipur,gujarat,2024.0,7.0,429.09,13.841612903225805,28.36967741935484,3,0,200.0,1,-5.433586021505377
chhota udaipur,gujarat,2024.0,8.0,523.23,16.878387096774194,26.96258064516129,3,0,200.0,1,-3.533064516129034
chhota udaipur,gujarat,2024.0,9.0,403.57,13.452333333333334,26.545,3,0,200.0,1,-2.117682795698922
chhota udaipur,gujarat,2024.0,10.0,40.44,1.304516129032258,26.38290322580645,3,0,200.0,1,-1.578446236559138
chhota udaipur,gujarat,2024.0,11.0,0.0,0.0,21.977666666666668,3,0,200.0,1,-0.9589704301075308
chhota udaipur,gujarat,2024.0,12.0,0.96,0.0309677419354838,19.600967741935484,3,0,200.0,1,-1.3135426829268295
chhota udaipur,gujarat,2025.0,1.0,0.0,0.0,21.22322580645161,3,0,200.0,1,10.629846199746405
chhota udaipur,gujarat,2025.0,2.0,0.0,0.0,25.1625,3,0,200.0,1,4.2720225349603655
chhota udaipur,gujarat,2025.0,3.0,0.0,0.0,29.259032258064515,3,0,200.0,1,-0.0388581030619885
chhota udaipur,gujarat,2025.0,4.0,0.05,0.0016666666666666,33.167,3,0,200.0,1,-4.638244264507424
