district,state,year,month,rain_total,rain_avg,temp_avg,soil,urban,well_depth,aquifer_type,gw_delta,gw_delta_lag1,gw_delta_lag2,rain_total_lag1,rain_total_lag2,temp_avg_lag1
Agar malwa,madhya pradesh,2025.0,3.0,0.0,0.0,27.302258064516128,2,0,200.0,3,-0.769635944700461,-1.503420506912442,-3.538411290322581,0.0,7.37,22.765
Agar malwa,madhya pradesh,2025.0,4.0,0.88,0.0293333333333333,32.887,2,0,200.0,3,-1.5854521505376358,-0.769635944700461,-1.503420506912442,0.0,0.0,27.302258064516128
Agar malwa,madhya pradesh,2025.0,5.0,39.88,1.286451612903226,33.34774193548387,2,0,200.0,3,-1.0284672043010747,-1.5854521505376358,-0.769635944700461,0.88,0.0,32.887
Agar malwa,madhya pradesh,2025.0,6.0,149.38,4.979333333333333,31.648000000000003,2,0,200.0,3,-1.7209925441265987,-1.0284672043010747,-1.5854521505376358,39.88,0.88,33.34774193548387
Agar malwa,madhya pradesh,2025.0,7.0,334.29,10.783548387096774,27.01,2,0,200.0,3,3.060536759921927,-1.7209925441265987,-1.0284672043010747,149.38,39.88,31.648000000000003
Agar malwa,madhya pradesh,2025.0,8.0,147.91,4.771290322580645,26.69419354838709,2,0,200.0,3,3.530681590656285,3.060536759921927,-1.7209925441265987,334.29,149.38,27.01
Agar malwa,madhya pradesh,2025.0,9.0,118.24,3.941333333333333,26.10033333333333,2,0,200.0,3,1.3885163978494628,3.530681590656285,3.060536759921927,147.91,334.29,26.69419354838709
Agar malwa,madhya pradesh,2025.0,10.0,53.29,1.719032258064516,23.988709677419354,2,0,200.0,3,2.13537876344086,1.3885163978494628,3.530681590656285,118.24,147.91,26.10033333333333
Agar malwa,madhya pradesh,2025.0,11.0,1.4200000000000002,0.0473333333333333,19.41133333333333,2,0,200.0,3,1.2829782878411908,2.13537876344086,1.3885163978494628,53.29,118.24,23.988709677419354
Agar malwa,madhya pradesh,2025.0,12.0,0.0,0.0,17.293225806451613,2,0,200.0,3,-1.900374156545209,1.2829782878411908,2.13537876344086,1.4200000000000002,53.29,19.41133333333333
